id,arquivo,linha,funcao,camada,feature,moderno_ou_legado,opcoes_diretas,opcoes_mapeadas,compartilhada,chamadas_detectadas_qtd
src/features/atividades/sei-pro-atividades.js:12941:configUpdateKey,src/features/atividades/sei-pro-atividades.js,12941,configUpdateKey,feature,atividades,moderno,,,não,0
src/features/atividades/sei-pro-atividades.js:12943:confirmaFraseBoxPro,src/features/atividades/sei-pro-atividades.js,12943,confirmaFraseBoxPro,feature,atividades,moderno,,,não,4
src/features/atividades/sei-pro-atividades.js:12950:confirmaFraseBoxPro,src/features/atividades/sei-pro-atividades.js,12950,confirmaFraseBoxPro,feature,atividades,moderno,,,não,1
src/features/atividades/sei-pro-atividades.js:12962:changeConfigItemCell,src/features/atividades/sei-pro-atividades.js,12962,changeConfigItemCell,feature,atividades,moderno,,,não,1
src/features/atividades/sei-pro-atividades.js:12966:setTimeout,src/features/atividades/sei-pro-atividades.js,12966,setTimeout,feature,atividades,moderno,,,não,9
src/features/atividades/sei-pro-atividades.js:12980:checkOptionConfigComplex,src/features/atividades/sei-pro-atividades.js,12980,checkOptionConfigComplex,feature,atividades,moderno,,,não,7
src/features/atividades/sei-pro-atividades.js:12994:getResendKey,src/features/atividades/sei-pro-atividades.js,12994,getResendKey,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,9
src/features/atividades/sei-pro-atividades.js:13022:configResendKey,src/features/atividades/sei-pro-atividades.js,13022,configResendKey,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,10
src/features/atividades/sei-pro-atividades.js:13059:configServerKey,src/features/atividades/sei-pro-atividades.js,13059,configServerKey,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,8
src/features/atividades/sei-pro-atividades.js:13078:checkDatesLoopArray,src/features/atividades/sei-pro-atividades.js,13078,checkDatesLoopArray,feature,atividades,moderno,,notificacaonovoprocesso,não,9
src/features/atividades/sei-pro-atividades.js:13097:checkDatesBetweenArray,src/features/atividades/sei-pro-atividades.js,13097,checkDatesBetweenArray,feature,atividades,moderno,,,não,9
src/features/atividades/sei-pro-atividades.js:13127:checkOptionConfigSEI,src/features/atividades/sei-pro-atividades.js,13127,checkOptionConfigSEI,feature,atividades,moderno,,,não,3
src/features/atividades/sei-pro-atividades.js:13135:getIDProtocoloSEI,src/features/atividades/sei-pro-atividades.js,13135,getIDProtocoloSEI,feature,atividades,moderno,,,não,13
src/features/atividades/sei-pro-atividades.js:13155:setTimeout,src/features/atividades/sei-pro-atividades.js,13155,setTimeout,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,3
src/features/atividades/sei-pro-atividades.js:13162:extractOptionConfigItem,src/features/atividades/sei-pro-atividades.js,13162,extractOptionConfigItem,feature,atividades,moderno,,,não,27
src/features/atividades/sei-pro-atividades.js:13294:extractOptionConfigProgramas,src/features/atividades/sei-pro-atividades.js,13294,extractOptionConfigProgramas,feature,atividades,moderno,,,não,10
src/features/atividades/sei-pro-atividades.js:13314:extractOptionConfigPlano,src/features/atividades/sei-pro-atividades.js,13314,extractOptionConfigPlano,feature,atividades,moderno,,,não,11
src/features/atividades/sei-pro-atividades.js:13350:extractOptionConfigUnidade,src/features/atividades/sei-pro-atividades.js,13350,extractOptionConfigUnidade,feature,atividades,moderno,,,não,18
src/features/atividades/sei-pro-atividades.js:13411:saveOptionConfigItem,src/features/atividades/sei-pro-atividades.js,13411,saveOptionConfigItem,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,7
src/features/atividades/sei-pro-atividades.js:13428:configPessoal,src/features/atividades/sei-pro-atividades.js,13428,configPessoal,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,32
src/features/atividades/sei-pro-atividades.js:13617:saveConfigPersonalUser,src/features/atividades/sei-pro-atividades.js,13617,saveConfigPersonalUser,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,8
src/features/atividades/sei-pro-atividades.js:13657:getTableRelatorioPlano,src/features/atividades/sei-pro-atividades.js,13657,getTableRelatorioPlano,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;notificacaonovoprocesso;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,9
